,0,1,2,3,4,5,6,7,8,9,10,11
0,1597968000000,22.933,25.232,21.839,22.106,323236,1598054399999,143685.31519925,6724,151883,67481.59069125,0
1,1598054400000,22.121,22.290,21.304,22.274,402669,1598140799999,183419.19184569,8096,200031,91110.95756695,0
2,1598140800000,22.250,22.276,21.571,21.882,478804,1598227199999,218554.46232404,8767,246675,112633.28079335,0
3,1598227200000,21.884,22.972,21.750,22.625,627366,1598313599999,279321.29764248,11973,320089,142506.56020692,0
4,1598313600000,22.614,22.660,20.972,21.391,966974,1598399999999,442973.25716114,17584,492146,225579.75497358,0
5,1598400000000,21.393,22.530,21.265,22.247,925821,1598486399999,418604.84209541,16633,463655,209651.98220989,0
6,1598486400000,22.246,23.238,21.801,23.139,1173385,1598572799999,522219.11261921,19542,601164,267510.87276857,0
7,1598572800000,23.150,23.665,22.666,23.075,840089,1598659199999,364063.38334034,15059,411362,178309.07639531,0
8,1598659200000,23.092,23.658,22.746,22.924,723078,1598745599999,311702.79020288,12907,373741,161052.40251997,0
9,1598745600000,22.919,23.875,22.908,23.679,705295,1598831999999,302154.17223567,13883,337615,144673.17064561,0
10,1598832000000,23.665,24.033,22.982,23.166,695562,1598918399999,297560.44974904,12815,330916,141542.57049792,0
11,1598918400000,23.176,25.537,22.861,24.777,1236689,1599004799999,518716.91197374,23357,609782,255684.89521118,0
12,1599004800000,24.777,25.937,23.100,24.728,2129589,1599091199999,863657.97087569,34146,1019629,413516.27513277,0
13,1599091200000,24.735,25.636,19.684,20.446,4102970,1599177599999,1781794.64152423,53397,1954220,848544.97888363,0
14,1599177600000,20.413,21.800,19.105,20.952,2290579,1599263999999,1106374.86692067,29232,1098286,530361.62329556,0
15,1599264000000,20.962,21.492,17.660,19.499,2176027,1599350399999,1119884.75491968,32886,1014323,522150.80646319,0
16,1599350400000,19.470,23.467,18.600,23.191,2643704,1599436799999,1233918.40266603,41111,1322714,615799.77662278,0
17,1599436800000,23.174,23.593,18.034,22.399,2538717,1599523199999,1173993.40195156,31320,1205007,556072.89401368,0
18,1599523200000,22.397,23.391,21.113,23.109,2126198,1599609599999,954643.05587043,24434,1008875,452564.22839631,0
19,1599609600000,23.130,24.567,22.339,24.498,1593424,1599695999999,676332.35895355,19812,772383,327601.51566030,0
20,1599696000000,24.469,25.539,24.111,24.589,1548627,1599782399999,625942.88333132,20229,759960,307128.26588532,0
21,1599782400000,24.571,25.715,23.120,25.421,1386430,1599868799999,574986.22826685,26395,696640,288681.76279923,0
22,1599868800000,25.398,28.556,25.398,28.520,2318491,1599955199999,860680.96247610,43269,1201089,445976.50604847,0
23,1599955200000,28.470,32.535,26.500,31.123,4838397,1600041599999,1594533.01974769,54015,2275034,749610.46582548,0
24,1600041600000,31.087,33.387,28.565,30.928,3180935,1600127999999,1026470.83746358,32335,1569126,506208.44159490,0
25,1600128000000,30.932,30.932,26.744,27.196,3424191,1600214399999,1202152.60770381,33356,1595003,559208.76636968,0
26,1600214400000,27.170,28.311,25.800,27.812,2069570,1600300799999,762806.85326581,25638,1002191,369481.59937228,0
27,1600300800000,27.819,28.757,26.029,26.999,1477208,1600387199999,549044.47936165,20945,731934,272096.17184051,0
28,1600387200000,27.012,28.802,26.666,27.702,1543606,1600473599999,558948.78798497,21784,745217,269735.62615056,0
29,1600473600000,27.695,28.050,26.700,27.197,1001888,1600559999999,367994.74413485,15904,484326,177943.94233719,0
30,1600560000000,27.167,27.350,25.006,26.218,1807618,1600646399999,688743.11612456,19151,811480,309225.15996797,0
31,1600646400000,26.173,26.610,22.114,23.127,3285196,1600732799999,1372962.72174567,33346,1548987,647842.65306793,0
32,1600732800000,23.129,24.590,22.633,24.010,1606147,1600819199999,678286.01627334,24877,795793,336105.61212063,0
33,1600819200000,24.002,24.322,22.379,22.777,1729360,1600905599999,738926.89273385,18671,851326,363388.06784701,0
34,1600905600000,22.751,24.697,22.481,24.521,1097381,1600991999999,463753.26641439,16324,570117,240934.71780991,0
35,1600992000000,24.522,25.087,23.664,24.668,1069932,1601078399999,437202.75998003,15969,537393,219460.52026789,0
36,1601078400000,24.673,26.409,24.416,26.156,1170574,1601164799999,462348.98285420,16843,588250,232601.87770791,0
37,1601164800000,26.132,26.952,25.460,26.212,1313362,1601251199999,501892.63839213,16609,597082,228255.67310956,0
38,1601251200000,26.204,27.642,25.804,26.973,1493065,1601337599999,558709.67593271,17174,746750,279379.22198288,0
39,1601337600000,26.958,28.917,26.823,28.787,1418423,1601423999999,508279.04515568,17220,711904,255219.02445787,0
40,1601424000000,28.750,29.527,27.708,29.211,1193485,1601510399999,418274.76188127,15847,590819,207212.72340770,0
41,1601510400000,29.226,29.304,26.154,27.473,1739605,1601596799999,624785.31674906,23131,847415,304461.92499851,0
42,1601596800000,27.426,28.080,25.509,27.279,2279357,1601683199999,848628.22148959,22839,1131532,420977.82425685,0
43,1601683200000,27.294,28.266,27.013,28.122,1165957,1601769599999,421666.72425075,16562,604210,218416.08397779,0
44,1601769600000,28.128,29.180,27.884,28.947,1267221,1601855999999,443679.46303513,16657,661173,231426.77977105,0
45,1601856000000,28.924,29.164,28.032,28.579,1101189,1601942399999,384938.37861872,15073,547360,191245.48318028,0
46,1601942400000,28.593,28.946,27.200,27.668,1360580,1602028799999,485159.29718905,17330,663990,236713.54063440,0
47,1602028800000,27.661,27.849,26.796,27.653,1025879,1602115199999,374701.64234419,14928,530892,193874.57236224,0
48,1602115200000,27.647,27.800,26.450,27.684,948870,1602201599999,348206.24730606,13970,463925,170122.65152918,0
49,1602201600000,27.666,28.518,27.440,28.398,888761,1602287999999,315896.39793724,13071,446921,158862.86971433,0
50,1602288000000,28.406,29.247,28.080,28.395,979701,1602374399999,342047.05722179,13587,480950,167907.11752202,0
51,1602374400000,28.383,28.740,27.860,28.535,858416,1602460799999,303011.77019227,13384,427830,150959.08523284,0
52,1602460800000,28.530,31.073,28.416,30.637,2087142,1602547199999,694137.62019967,22051,991622,329678.38974061,0
53,1602547200000,30.590,31.699,30.021,30.661,1795905,1602633599999,581607.23786443,20600,858978,278027.68120467,0
54,1602633600000,30.639,31.337,30.329,30.806,1088582,1602719999999,353907.73271799,16082,518168,168448.32708698,0
55,1602720000000,30.807,31.684,30.411,31.358,1271227,1602806399999,409573.48060131,18176,616836,198619.90405381,0
56,1602806400000,31.339,31.962,29.601,30.082,1940764,1602892799999,635328.97485042,21563,884691,289564.02190150,0
57,1602892800000,30.080,30.597,29.700,30.249,889947,1602979199999,294005.13199665,12908,440400,145490.31093545,0
58,1602979200000,30.238,30.970,30.190,30.680,973462,1603065599999,317807.70921183,13928,501390,163697.18196484,0
59,1603065600000,30.648,30.698,29.761,29.971,975305,1603151999999,322991.93889099,16127,430043,142430.90505488,0
60,1603152000000,29.974,30.138,28.556,28.854,1328174,1603238399999,452987.47300410,19150,614493,209652.36106900,0
61,1603238400000,28.800,30.425,28.685,29.790,1271299,1603324799999,428186.86745183,17783,630586,212411.27948635,0
62,1603324800000,29.760,31.299,29.757,30.721,1349162,1603411199999,439476.16049831,18375,655708,213559.04651602,0
63,1603411200000,30.715,31.231,30.061,30.693,1165196,1603497599999,379414.39099118,14430,584328,190238.30302653,0
64,1603497600000,30.685,30.917,30.444,30.700,895942,1603583999999,292210.38457972,11462,433275,141355.86978732,0
65,1603584000000,30.652,30.970,29.902,30.187,1252300,1603670399999,411872.10386514,14707,600085,197268.80072787,0
66,1603670400000,30.141,31.391,30.000,31.120,1445868,1603756799999,469837.28074084,17581,692138,224987.27050178,0
67,1603756800000,31.102,32.478,30.949,31.553,2269545,1603843199999,717286.94604553,25233,1058838,334899.12969595,0
68,1603843200000,31.508,31.977,29.816,30.391,1671465,1603929599999,541818.95110146,16106,769832,249540.59426141,0
69,1603929600000,30.400,30.470,29.486,29.827,1261880,1604015999999,419923.19286766,15537,615437,204782.61432123,0
70,1604016000000,29.822,30.187,27.388,28.504,2175967,1604102399999,761747.20590665,20488,990458,347112.16149773,0
71,1604102400000,28.523,28.919,28.100,28.518,1332593,1604188799999,466433.18694935,16801,598330,209375.46770203,0
72,1604188800000,28.520,28.719,28.124,28.579,885065,1604275199999,312330.66993301,12083,414462,146270.59788822,0
73,1604275200000,28.579,29.325,27.780,27.797,1429500,1604361599999,500803.11390913,16016,639531,224047.19143647,0
74,1604361600000,27.779,27.779,25.627,26.866,1912667,1604447999999,718206.30647107,20514,856638,321786.86166082,0
75,1604448000000,26.888,26.986,25.970,26.971,1768289,1604534399999,666864.79242714,18211,768862,289749.82796568,0
76,1604534400000,26.988,27.949,26.727,27.756,1862592,1604620799999,680411.26558051,20644,881121,321831.11173961,0
77,1604620800000,27.757,29.556,27.757,29.118,1669432,1604707199999,580419.74371564,20827,798431,277466.38878942,0
78,1604707200000,29.104,29.918,26.909,27.810,3101553,1604793599999,1087583.58620376,24456,1446213,507211.80270780,0
79,1604793600000,27.817,28.722,27.530,28.443,1266059,1604879999999,448745.85127303,16082,606770,215054.85415137,0
80,1604880000000,28.446,28.980,27.348,28.138,2046753,1604966399999,727102.72033277,21288,964719,342684.32930333,0
81,1604966400000,28.140,28.529,27.743,28.264,1428441,1605052799999,507327.81114041,17221,694590,246645.58389121,0
82,1605052800000,28.264,28.654,27.807,28.042,865654,1605139199999,306838.79555132,16117,394553,139883.46149273,0
83,1605139200000,28.036,28.193,27.345,27.750,1069177,1605225599999,384398.39539537,16680,497968,179065.83029583,0
84,1605225600000,27.762,28.503,27.598,28.260,1265046,1605311999999,450768.92345679,17833,614247,218884.11420179,0
85,1605312000000,28.261,28.261,27.427,27.982,796471,1605398399999,286331.77999956,13638,354209,127372.36012172,0
86,1605398400000,27.994,28.251,27.080,27.706,931553,1605484799999,334792.78836346,15410,416129,149493.88802572,0
87,1605484800000,27.707,28.240,27.513,28.026,998774,1605571199999,357823.47804348,17140,478070,171268.74978177,0
88,1605571200000,28.008,28.795,27.991,28.602,1546736,1605657599999,542564.71421731,23038,744178,261039.59287687,0
89,1605657600000,28.601,28.913,27.371,28.145,1906126,1605743999999,676867.83639430,27128,857985,304625.77103739,0
90,1605744000000,28.150,28.410,27.712,28.168,1294614,1605830399999,460622.28423106,21890,594053,211383.67402019,0
91,1605830400000,28.171,29.348,28.116,29.008,1806689,1605916799999,626800.11428521,26095,794170,275677.73049472,0
92,1605916800000,29.009,30.855,28.400,30.573,3141576,1606003199999,1059369.14343599,38820,1478006,497911.55825403,0
93,1606003200000,30.589,31.323,28.900,30.119,3769377,1606089599999,1252361.27382096,46766,1836293,609802.50644360,0
94,1606089600000,30.117,31.200,29.883,31.091,2728043,1606175999999,894156.63143088,38065,1273355,417383.87776309,0
95,1606176000000,31.095,35.329,30.910,33.955,7540934,1606262399999,2280924.80475028,82197,3493777,1056535.52146232,0
96,1606262400000,33.918,35.498,30.289,31.360,5539615,1606348799999,1683076.31260676,63877,2547304,772428.54143743,0
97,1606348800000,31.360,31.871,26.327,28.265,8317499,1606435199999,2901242.19924933,95436,3875356,1351616.44380178,0
98,1606435200000,28.272,28.762,27.191,28.433,2148077,1606521599999,766194.44333600,29894,1027873,366299.49969543,0
99,1606521600000,28.433,29.650,27.918,29.170,1511075,1606607999999,524527.20458899,23213,779549,270568.24894723,0
100,1606608000000,29.163,30.501,28.900,30.159,1613751,1606694399999,544646.17339893,24616,814778,274814.72554395,0
101,1606694400000,30.170,31.759,29.755,31.569,2126944,1606780799999,691099.24936525,33577,996505,323705.81916627,0
102,1606780800000,31.569,31.966,29.132,30.212,3601671,1606867199999,1176993.53801499,46305,1659380,542293.26544788,0
103,1606867200000,30.201,30.993,29.500,30.337,1696637,1606953599999,559723.30441205,27931,826823,272705.14153048,0
104,1606953600000,30.331,30.855,29.918,30.739,1166811,1607039999999,383665.13224771,18016,511556,168219.81460578,0
105,1607040000000,30.740,31.191,28.742,29.046,1462223,1607126399999,489867.51359166,20516,660830,221477.60126542,0
106,1607126400000,29.025,30.047,28.611,29.753,1012106,1607212799999,344177.58380991,16031,484934,164939.82483083,0
107,1607212800000,29.737,30.201,29.100,29.523,1140749,1607299199999,386515.30971621,16336,566761,191974.82669706,0
108,1607299200000,29.563,29.678,29.037,29.404,833114,1607385599999,283722.33589963,14002,384700,131016.31680078,0
109,1607385600000,29.392,29.530,27.459,27.680,1798960,1607471999999,633972.44956308,22686,815956,287566.53240006,0
110,1607472000000,27.672,28.395,26.933,28.149,1507582,1607558399999,543203.39994389,25611,698954,251731.11940569,0
111,1607558400000,28.132,28.250,27.400,27.682,1041405,1607644799999,374706.45916169,17109,541642,194876.35474250,0
112,1607644800000,27.689,27.773,26.770,27.335,1394412,1607731199999,512891.54164243,24345,641831,236103.83566593,0
113,1607731200000,27.351,28.242,27.271,28.140,701437,1607817599999,251577.53622394,13422,345380,123853.82456402,0
114,1607817600000,28.148,29.305,28.005,29.146,1079616,1607903999999,374786.74969348,19399,545542,189431.09841606,0
115,1607904000000,29.153,30.211,28.691,30.039,1523101,1607990399999,517852.38501124,23307,752536,255881.05257676,0
116,1607990400000,30.049,30.344,29.318,29.507,1042612,1608076799999,350274.18956195,18451,525746,176570.67217690,0
117,1608076800000,29.513,30.694,29.036,30.625,1782860,1608163199999,597122.58572426,27463,811494,272248.98199357,0
118,1608163200000,30.626,31.628,29.800,30.269,4074003,1608249599999,1323020.17649354,62624,1937464,629278.13318230,0
119,1608249600000,30.264,31.274,29.698,31.007,2025387,1608335999999,663608.44081724,35599,1003515,328974.98135828,0
120,1608336000000,31.006,34.347,30.932,33.346,3005350,1608422399999,911764.06779833,52171,1470716,446243.78496638,0
121,1608422400000,33.321,35.726,32.626,34.316,5234853,1608508799999,1526923.71618739,93070,2497846,729291.28077078,0
122,1608508800000,34.311,35.721,31.000,32.113,6607132,1608595199999,1980457.90581765,104830,3107744,929964.63751964,0
123,1608595200000,32.102,33.885,30.125,33.530,4064782,1608681599999,1259404.92678850,73561,1941832,600852.69328517,0
124,1608681600000,33.531,34.488,29.703,31.103,4949666,1608767999999,1526346.84417933,83109,2214874,681761.29921359,0
125,1608768000000,31.109,32.749,30.340,32.507,3164793,1608854399999,1004691.63796196,60874,1571313,498809.99967264,0
126,1608854400000,32.495,33.536,31.767,33.199,2314076,1608940799999,708369.64903263,34573,1115937,341480.47009299,0
127,1608940800000,33.198,34.113,32.539,33.602,2373323,1609027199999,711236.52931128,38079,1083469,324651.52411026,0
128,1609027200000,33.606,35.034,31.843,33.627,4127644,1609113599999,1225684.58771804,66089,1933412,573590.51380331,0
129,1609113600000,33.626,36.195,33.297,35.937,3186618,1609199999999,904333.32028876,63966,1593069,452117.05601046,0
130,1609200000000,35.945,39.531,35.250,39.104,4674281,1609286399999,1235176.18028046,66204,2382514,629967.86994515,0
131,1609286400000,39.120,39.338,36.761,38.185,2095810,1609372799999,554934.15883503,41868,999687,264730.57269551,0
132,1609372800000,38.202,38.229,36.720,37.454,2007915,1609459199999,537049.96737602,41255,901858,241115.49063062,0
133,1609459200000,37.450,39.135,36.999,37.835,2804530,1609545599999,736809.38124521,37183,1271140,333723.02330641,0
134,1609545600000,37.852,39.069,36.750,38.284,3117778,1609631999999,821300.69052475,48257,1273453,335448.01167582,0
135,1609632000000,38.286,42.007,38.020,41.555,5549501,1609718399999,1390728.45582579,86089,2628479,657949.06536286,0
136,1609718400000,41.571,43.578,38.000,41.135,5851120,1609804799999,1444376.82850509,95601,3079154,759919.63765312,0
137,1609804800000,41.145,41.933,38.882,41.933,3275555,1609891199999,812044.50918170,51967,1573194,390052.78845774,0
138,1609891200000,41.933,42.500,40.550,42.340,3354061,1609977599999,808169.99876218,54958,1525946,367207.67743956,0
139,1609977600000,42.338,44.791,41.448,43.667,5360868,1610063999999,1236712.38751725,75184,2488705,573741.09863593,0
140,1610064000000,43.657,43.713,40.204,42.452,3456262,1610150399999,817416.57417051,78368,1607664,380087.91298732,0
141,1610150400000,42.455,44.231,41.481,44.014,2645279,1610236799999,618842.79131153,74637,1280504,299741.99474693,0
142,1610236800000,44.028,45.298,39.800,42.463,4179290,1610323199999,970162.23823071,67365,1926816,446905.68009937,0
143,1610323200000,42.444,42.474,35.200,38.166,7915118,1610409599999,2069645.40786398,143918,3830425,1001549.12943843,0
144,1610409600000,38.175,40.085,37.185,38.256,3178656,1610495999999,825532.37126902,73497,1489414,386771.40091662,0
145,1610496000000,38.258,40.527,37.017,40.179,2920700,1610582399999,760188.62509886,62418,1370427,356459.16782430,0
146,1610582400000,40.190,42.096,39.583,41.907,2550532,1610668799999,624768.27679885,61412,1177911,288418.96807686,0
147,1610668800000,41.895,42.637,38.620,40.894,3671858,1610755199999,900739.79608671,83326,1701223,417210.23697366,0
148,1610755200000,40.887,44.190,40.620,43.130,3150703,1610841599999,739035.62020973,66895,1509081,354059.25613871,0
149,1610841600000,43.100,46.666,40.951,45.867,3756631,1610927999999,857938.73216800,58653,1829785,417962.70600187,0
150,1610928000000,45.839,46.777,44.125,45.483,2760060,1611014399999,608051.70863521,45557,1311531,288651.03684997,0
151,1611014400000,45.486,47.300,41.745,42.555,6299790,1611100799999,1408235.42689491,139540,2829518,632504.58581050,0
152,1611100800000,42.535,42.825,40.150,42.603,3407558,1611187199999,819296.59719541,100740,1601747,385001.45209878,0
153,1611187200000,42.590,42.674,38.077,38.603,3848587,1611273599999,956336.19671925,94796,1762047,436764.73804276,0
154,1611273600000,38.595,41.479,36.800,40.901,2974604,1611359999999,756703.54586032,70897,1459595,370665.85376579,0
155,1611360000000,40.904,41.879,39.568,40.970,2086104,1611446399999,512818.60083355,49586,997183,245038.47563875,0
156,1611446400000,40.966,42.290,40.418,41.872,1449935,1611532799999,350156.90277047,38102,711195,171699.38520014,0
157,1611532800000,41.879,43.462,40.500,41.811,2313270,1611619199999,547174.22262396,59593,1038267,245370.82677640,0
158,1611619200000,41.803,42.541,39.885,41.815,2308507,1611705599999,564737.89439687,63570,1093531,267324.39229031,0
159,1611705600000,41.833,42.062,39.650,40.932,3224403,1611791999999,789588.67782639,79410,1582054,387267.24524842,0
160,1611792000000,40.935,43.043,40.357,42.574,2347216,1611878399999,557068.70098604,59674,1179334,279820.60595723,0
161,1611878400000,42.563,44.150,41.901,42.933,3656130,1611964799999,848333.08242606,86473,1793942,416142.78436028,0
162,1611964800000,42.938,45.177,42.700,44.771,2218619,1612051199999,505863.42327051,50108,1047415,238670.64822211,0
163,1612051200000,44.802,45.735,43.371,44.391,2008140,1612137599999,452783.56334331,48215,967849,218282.59144637,0
164,1612137600000,44.370,52.394,43.465,51.412,6878648,1612223999999,1426067.17972876,109719,3349034,695035.89008866,0
165,1612224000000,51.415,52.948,49.258,50.917,4835385,1612310399999,950758.33973042,83955,2231905,438781.68207953,0
166,1612310400000,50.902,52.810,49.936,52.180,2256751,1612396799999,441658.43682278,41135,1124538,220120.71253051,0
167,1612396800000,52.189,57.209,51.359,56.102,4482744,1612483199999,832256.22715162,68567,2162607,400943.63042543,0
168,1612483200000,56.076,68.824,56.069,67.737,7617478,1612569599999,1231728.98595563,139839,3632038,587518.94863852,0
169,1612569600000,67.712,75.770,61.650,72.802,15198256,1612655999999,2170797.30175122,179402,7316441,1043810.93117407,0
170,1612656000000,72.728,74.660,63.500,68.457,11605023,1612742399999,1675688.90668585,130055,5547142,800612.18079180,0
171,1612742400000,68.441,80.463,67.691,80.264,10008086,1612828799999,1365697.89654505,140740,4990775,680148.21507447,0
172,1612828800000,80.336,116.481,78.339,107.646,23450106,1612915199999,2389155.64394508,305086,11480917,1170493.47942876,0
173,1612915200000,107.635,148.500,107.620,129.053,54973215,1613001599999,4260650.74742395,532373,26404224,2046608.84300031,0
174,1613001600000,129.134,133.240,118.208,124.403,19305212,1613087999999,1541292.19862396,215400,9501957,758133.60331755,0
175,1613088000000,124.407,142.494,121.330,136.981,18380837,1613174399999,1387327.56446040,210081,9224613,695967.34235223,0
176,1613174400000,137.041,139.193,125.010,133.603,11870632,1613260799999,902736.69110697,130444,5797232,440665.35139710,0
177,1613260800000,133.733,140.063,128.723,136.076,15556454,1613347199999,1164784.28306149,199604,7336493,548919.96451265,0
178,1613347200000,136.080,140.210,107.689,130.195,18604914,1613433599999,1448450.13961390,188023,8722557,678649.97670124,0
179,1613433600000,130.240,133.865,126.437,130.284,9789195,1613519999999,751875.66052415,111543,4616905,354715.79785173,0
180,1613520000000,130.305,177.550,127.068,165.553,31199510,1613606399999,2046660.68497343,292834,15224673,998915.13304775,0
181,1613606400000,165.643,201.000,162.929,195.749,46287293,1613692799999,2478703.94591119,354410,22089854,1182339.78265754,0
182,1613692800000,195.754,384.296,195.243,334.408,158135741,1613779199999,5685208.10490398,813919,73249168,2637424.56719323,0
183,1613779200000,334.498,336.854,207.103,251.841,106882299,1613865599999,3829761.95387353,646765,49984895,1783850.69423256,0
184,1613865600000,252.014,310.177,248.420,295.170,84861298,1613951999999,3013327.87335292,490307,40172089,1424714.14764779,0
185,1613952000000,295.536,296.340,220.000,268.003,92132758,1614038399999,3520586.77607284,595198,42376443,1615980.27163696,0
186,1614038400000,268.068,271.000,180.800,231.572,119253642,1614124799999,5378633.12399635,948530,57247611,2583185.61963249,0
187,1614124800000,231.507,281.519,213.075,254.253,88118100,1614211199999,3515765.66407548,723296,42199592,1683447.77169855,0
188,1614211200000,254.277,266.017,230.403,234.273,52090909,1614297599999,2084263.61798479,427543,24761493,990373.62803764,0
189,1614297600000,234.410,235.928,208.651,214.462,24172758,1614383999999,1077040.37717357,234354,11780079,524860.45913803,0
